    a
    ab · Preposition
    gutscheine · Masculine Noun
    gymnasien · Neuter Noun
    gymnasium · Neuter Noun
    h
    haar · Neuter Noun
    haare · Neuter Noun
    habe · Verb
    haben · Verb
    habt · Verb
    hähnchen · Neuter Noun
    haie · Masculine Noun
    halb · Adjective
    halbbrüder · Masculine Noun
    halbbruder · Masculine Noun
    halbschwester · Feminine Noun
    halbschwestern · Feminine Noun
    hälfte · Feminine Noun
    halle · Feminine Noun
    hallen · Feminine Noun
    hallo · Interjection
    hals · Masculine Noun
    hälse · Masculine Noun
    hält · Verb
    halte · Verb
    halten · Verb
    hamburg · Neuter Proper Noun
    hamster · Masculine Noun
    hand · Feminine Noun
    handbuch · Neuter Noun
    hände · Feminine Noun
    handel · Masculine Noun
    handelt · Verb
    handgelenk · Neuter Noun
    handgelenke · Neuter Noun
    handle · Verb
    händler · Masculine Noun
    handtuch · Neuter Noun
    handtücher · Neuter Noun
    handwerk · Neuter Noun
    handy · Neuter Noun
    handys · Neuter Noun
    hängen · Verb
    hängt · Verb
    hans · Masculine Proper Noun
    harmlos · Adjective
    hart · Adjective
    hassen · Verb
    hasst · Verb
    hast · Verb
    hat · Verb
    hatte · Verb
    hätten · Verb
    hatten · Verb
    häufig · Adjective
    hauptgericht · Masculine Noun
    hauptstadt · Feminine Noun
    hauptstädte · Feminine Noun
    haus · Neuter Noun
    häuser · Neuter Noun
    hauses · Neuter Noun
    haushalt · Masculine Noun
    haustier · Neuter Noun
    haut · Feminine Noun
    heilig · Adjective
    heilige · Feminine Adjective
    heimat · Feminine Noun
    heiß · Adjective
    heiße · Adjective
    heißen · Verb
    heißt · Verb
    heizung · Feminine Noun
    helfe · Verb
    helfen · Verb
    helft · Verb
    hemd · Neuter Noun
    hemden · Neuter Noun
    her · Adverb
    heraus · Adverb
    herbst · Masculine Noun
    herein · Adverb
    herkunft · Feminine Noun
    herr · Masculine Noun
    herren · Masculine Noun
    hersteller · Masculine Noun
    herum · Adverb
    herunter · Adverb
    herz · Neuter Noun
    herzen · Neuter Noun
    herzlich · Adjective
    heute · Adverb
    heutigen · Feminine Adjective
    hexe · Feminine Noun
    hexen · Feminine Noun
    hier · Adverb
    hierher · Adverb
    hiermit · Adverb
    hierzu · Adverb
    hilfe · Feminine Noun
    hilfreich · Adjective
    hilfst · Verb
    hilft · Verb
    himmel · Masculine Noun
    hin · Adverb
    hinaus · Adverb
    hinduismus · Masculine Noun
    hingegen · Adverb
    hinten · Adverb
    hinter · Preposition
    hintergrund · Masculine Noun
    hinweis · Masculine Noun
    hinweise · Masculine Noun
    hinzu · Adverb
    hobby · Neuter Noun
    hobbys · Neuter Noun
    hoch
    hochschule · Feminine Noun
    hochschulen · Feminine Noun
    höchste · Masculine Adjective
    hochzeit · Feminine Noun
    hof · Masculine Noun
    höfe · Masculine Noun
    hoffe · Verb
    hoffen · Verb
    hoffnung · Feminine Noun
    hohe · Adjective
    höhe · Feminine Noun
    hohen · Adjective
    hoher · Masculine Adjective
    höher · Adjective
    höhere · Feminine Adjective
    höheren · Adjective
    holz · Neuter Noun
    honig · Masculine Noun
    höre · Verb
    hören · Verb
    horn · Neuter Noun
    hörner · Neuter Noun
    hörst · Verb
    hört · Verb
    hose · Feminine Noun
    hosen · Feminine Noun
    hotel · Neuter Noun
    hotels · Neuter Noun
    hüfte · Feminine Noun
    hüften · Feminine Noun
    huhn · Masculine Noun
    hühner · Masculine Noun
    humor · Masculine Noun
    hund
    hunde · Masculine Noun
    hundert · Numeral
    hundertdreiundzwanzig · Numeral
    hunger · Masculine Noun
    hut · Masculine Noun
    hüte · Masculine Noun
    i
    ich · Pronoun
    idee · Feminine Noun
    ideen · Feminine Noun
    ihm · Masculine Pronoun
    ihn · Masculine Pronoun
    ihnen · Pronoun
    ihr · Feminine Pronoun
    ihre · Feminine Pronoun
    ihrem · Neuter Pronoun
    ihren · Masculine Pronoun
    ihrer · Pronoun
    ihres · Masculine Pronoun
    im · Masculine Preposition
    immer · Adverb
    in · Preposition
    in ordnung
    indien · Neuter Proper Noun
    individuell · Adjective
    individuelle · Feminine Adjective
    industrie · Feminine Noun
    industrien · Feminine Noun
    information · Feminine Noun
    informationen · Feminine Noun
    inhaber · Masculine Noun
    inhalt · Masculine Noun
    inhalte · Masculine Noun
    inhalten · Masculine Noun
    innen · Adverb
    innenstadt · Feminine Noun
    innenstädte · Feminine Noun
    innere · Neuter Noun
    ins · Neuter Preposition
    insbesondere · Adverb
    insekt · Neuter Noun
    insekten · Neuter Noun
    insel · Feminine Noun
    inseln · Feminine Noun
    installieren · Verb
    installiert · Verb
    institut · Neuter Noun
    institute · Neuter Noun
    instrument · Neuter Noun
    instrumente · Neuter Noun
    interessant · Adjective
    interessante · Adjective
    interesse · Neuter Noun
    interessen · Neuter Noun
    international · Adjective
    internationale · Feminine Adjective
    internationalen · Adjective
    internet · Neuter Noun
    internetseiten · Feminine Noun
    interview · Neuter Noun
    interviews · Neuter Noun
    inzwischen · Adverb
    irgendwann · Adverb
    irgendwas · Neuter Determiner
    irgendwer · Determiner
    irgendwie · Adverb
    irgendwo · Adverb
    islam · Masculine Noun
    iss · Verb
    isst · Verb
    ist · Verb
    italien · Neuter Proper Noun
    j
    ja · Adverb
    jacke · Feminine Noun
    jacken · Feminine Noun
    jahr · Neuter Noun
    jahre · Neuter Noun
    jahren · Neuter Noun
    jahreszeiten · Feminine Noun
    jahrhundert · Neuter Noun
    jahrhunderte · Neuter Noun
    jährlich · Adjective
    januar · Masculine Noun
    je · Adverb
    jede · Feminine Determiner
    jedenfalls · Adverb
    jeder · Masculine Determiner
    jederzeit · Adverb
    jedes · Neuter Determiner
    jedoch · Adverb
    jemand · Determiner
    jetzt · Adverb
    job · Masculine Noun
    jobs · Masculine Noun
    jude · Masculine Noun
    juden · Masculine Noun
    jugendliche · Feminine Adjective
    juli · Masculine Noun
    julia · Feminine Proper Noun
    jung · Adjective
    junge · Masculine Noun
    jungen · Adjective
    juni · Masculine Noun
    k
    kabel · Neuter Noun
    käfer · Masculine Noun
    kaffee · Masculine Noun
    kalender · Masculine Noun
    kalt · Adjective
    kam · Verb
    kamel · Neuter Noun
    kamele · Neuter Noun
    kamelen · Neuter Noun
    kamen · Verb
    kamera · Feminine Noun
    kameras · Feminine Noun
    kampf · Masculine Noun
    kann · Verb
    kannst · Verb
    kapitel · Neuter Noun
    kaputt · Adjective
    karl · Masculine Proper Noun
    karriere · Feminine Noun
    karte · Feminine Noun
    karten · Feminine Noun
    kartoffel · Feminine Noun
    kartoffeln · Feminine Noun
    karton · Masculine Noun
    käse · Masculine Noun
    kasse · Feminine Noun
    kassen · Feminine Noun
    katalog · Masculine Noun
    kataloge · Masculine Noun
    kategorie · Feminine Noun
    kategorien · Feminine Noun
    katze · Feminine Noun
    katzen · Feminine Noun
    kauf · Masculine Noun
    kaufe · Verb
    käufe · Masculine Noun
    kaufen · Verb
    käufer · Masculine Noun
    kauft · Verb
    kaum · Adverb
    kein · Masculine Determiner
    keine · Determiner
    keine ahnung
    keinen · Masculine Determiner
    keiner · Masculine Determiner
    keinerlei · Determiner
    keller · Masculine Noun
    kenne · Verb
    kennen · Verb
    kennst · Verb
    kennt · Verb
    kenntnis · Feminine Noun
    kenntnisse · Feminine Noun
    kind · Neuter Noun
    kinder · Neuter Noun
    kindergarten · Masculine Noun
    kindergärten · Masculine Noun
    kindes · Neuter Noun
    kinn · Neuter Noun
    kino · Neuter Noun
    kiosk · Masculine Noun
    kirche · Feminine Noun
    kirchen · Feminine Noun
    klar · Adjective
    klasse · Feminine Noun
    klassen · Feminine Noun
    klavier · Neuter Noun
    kleid · Neuter Noun
    kleider · Neuter Noun
    kleidung · Feminine Noun
    klein · Adjective
    kleinanzeige · Feminine Noun
    kleinanzeigen · Feminine Noun
    kleinen · Masculine Adjective
    kleiner · Adjective
    kleines · Neuter Adjective
    klima · Neuter Noun
    klingt · Verb
    klinik · Feminine Noun
    knapp · Adjective
    kneipe · Feminine Noun
    kneipen · Feminine Noun
    knie · Neuter Noun
    knoblauch · Masculine Noun
    knöchel · Masculine Noun
    knochen · Masculine Noun
    knopf · Masculine Noun
    knöpfe · Masculine Noun
    koch · Masculine Noun
    köche · Masculine Noun
    koche · Verb
    kochen · Verb
    köchinnen · Feminine Noun
    kochst · Verb
    kocht · Verb
    kollege · Masculine Noun
    kollegen · Masculine Noun
    kombination · Feminine Noun
    komisch · Adjective
    komme · Verb
    kommen · Verb
    kommentar · Masculine Noun
    kommentare · Masculine Noun
    kommst · Verb
    kommt · Verb
    kommunikation · Feminine Noun
    kompetenz · Feminine Noun
    komplett · Adjective
    komplette · Feminine Adjective
    komponist · Masculine Noun
    könig · Masculine Noun
    könige · Masculine Noun
    königs · Masculine Noun
    können · Verb
    könnt · Verb
    konnte · Verb
    könnte · Verb
    könnten · Verb
    kontakt · Masculine Noun
    kontaktieren · Verb
    kontaktiert · Verb
    konten · Neuter Noun
    kontinent · Masculine Noun
    konto · Neuter Noun
    kontrolle · Feminine Noun
    konzept · Neuter Noun
    konzepte · Neuter Noun
    konzert · Neuter Noun
    konzerte · Neuter Noun
    kooperation · Feminine Noun
    kopf · Masculine Noun
    köpfe · Masculine Noun
    körper · Masculine Noun
    korrupt · Adjective
    kosmetik · Feminine Noun
    kosten · Verb
    kostenlos · Adjective
    kostenlose · Feminine Adjective
    kostenlosen · Masculine Adjective
    kostet · Verb
    kraft · Feminine Noun
    krank · Adjective
    krankenhaus · Neuter Noun
    krankenhäuser · Neuter Noun
    krankenversicherung · Feminine Noun
    krankenwagen · Masculine Noun
    krankenwägen · Masculine Noun
    krankheit · Feminine Noun
    krankheiten · Feminine Noun
    kreditkarte · Feminine Noun
    kreditkarten · Feminine Noun
    kreis · Masculine Noun
    krieg · Masculine Noun
    kriterien · Neuter Noun
    kritik · Feminine Noun
    küche · Feminine Noun
    kuchen · Masculine Noun
    kuh · Feminine Noun
    kühe · Feminine Noun
    kühl · Adjective
    kühlschrank · Masculine Noun
    kühlschränke · Masculine Noun
    kultur · Feminine Noun
    kunde · Masculine Noun
    kunden · Masculine Noun
    kundenservice · Masculine Noun
    kundinnen · Feminine Noun
    kunst · Feminine Noun
    künste · Feminine Noun
    künstler · Masculine Noun
    kunststoff · Masculine Noun
    kupfer · Neuter Noun
    kurs · Masculine Noun
    kurse · Masculine Noun
    kurz · Adjective
    l
    lache · Verb
    lachen · Verb
    lacht · Verb
    lade · Verb
    ladegerät · Neuter Noun
    ladegeräte · Neuter Noun
    läden · Masculine Noun
    laden · Verb
    lädt · Verb
    lag · Verb
    lage · Feminine Noun
    lagen · Verb
    lager · Neuter Noun
    lampe · Feminine Noun
    land · Neuter Noun
    lang · Adjective
    lange · Feminine Adjective
    länge · Feminine Noun
    langen · Masculine Adjective
    länger · Adjective
    langsam · Adjective
    langsamer · Adjective
    langweilig · Adjective
    las · Verb
    lasen · Verb
    lass · Verb
    lassen · Verb
    lässt · Verb
    lasst · Verb
    lauf · Masculine Noun
    laufe · Verb
    laufen · Verb
    läufst · Verb
    läuft · Verb
    laut · Adjective
    lautsprecher · Masculine Noun
    lebe · Verb
    leben · Neuter Noun
    lebens · Neuter Noun
    leber · Feminine Noun
    lebst · Verb
    lebt · Verb
    lecker · Adjective
    leder · Neuter Noun
    leer · Adjective
    lege · Verb
    legen · Verb
    legt · Verb
    lehrbuch · Neuter Noun
    lehrbücher · Neuter Noun
    lehre · Feminine Noun
    lehrer · Masculine Noun
    lehrerin · Feminine Noun
    lehrerinnen · Feminine Noun
    leicht · Adjective
    leichter · Adjective
    leider · Adverb
    leise · Adjective
    leisten · Verb
    leistet · Verb
    leistung · Feminine Noun
    leistungen · Feminine Noun
    leiter · Feminine Noun
    leitern · Feminine Noun
    leitung · Feminine Noun
    leitungen · Feminine Noun
    lerne · Verb
    lernen · Verb
    lernst · Verb
    lernt · Verb
    lese · Verb
    lesen · Verb
    leser · Masculine Noun
    lest · Verb
    letzte · Neuter Adjective
    letzten · Adjective
    letzter · Masculine Adjective
    leute · Noun
    licht · Neuter Noun
    lichter · Neuter Noun
    liebe · Verb
    lieben · Verb
    lieber · Adjective
    liebling · Masculine Noun
    lieblings · Masculine Noun
    liebst · Verb
    liebt · Verb
    lied · Neuter Noun
    lieder · Neuter Noun
    liefern · Verb
    liefert · Verb
    lieferung · Feminine Noun
    liegst · Verb
    liegt · Verb
    lies · Verb
    ließ · Verb
    ließen · Verb
    liest · Verb
    liga · Feminine Noun
    linie · Feminine Noun
    linien · Feminine Noun
    linken · Adjective
    links · Adverb
    lippe · Feminine Noun
    liste · Feminine Noun
    liter · Masculine Noun
    literatur · Feminine Noun
    löffel · Masculine Noun
    logistik · Feminine Noun
    lösche · Verb
    löschst · Verb
    löscht · Verb
    lösen · Verb
    lösung · Feminine Noun
    lösungen · Feminine Noun
    luft · Feminine Noun
    lunge · Feminine Noun
    lungen · Feminine Noun
    lust · Feminine Noun
    lustig · Adjective
    m
    mache · Verb
    machen · Verb
    machst · Verb
    macht · Verb
    machte · Verb
    machten · Verb
    mädchen · Neuter Noun
    mag · Verb
    magen · Masculine Noun
    mägen · Masculine Noun
    magie · Feminine Noun
    magisch · Adjective
    magische · Feminine Adjective
    magischen · Masculine Adjective
    magst · Verb
    mai · Masculine Noun
    mal · Adverb
    male · Verb
    malen · Verb
    malst · Verb
    malt · Verb
    man · Determiner
    management · Neuter Noun
    manche · Determiner
    manchmal · Adverb
    mann · Masculine Noun
    männer · Masculine Noun
    mannes · Masculine Noun
    mannschaft · Feminine Noun
    mannschaften · Feminine Noun
    mantel · Masculine Noun
    mäntel · Masculine Noun
    marke · Feminine Noun
    markiere · Verb
    markieren · Verb
    markierst · Verb
    markiert · Verb
    markt · Masculine Noun
    märkte · Masculine Noun
    marktplatz · Masculine Noun
    marmelade · Feminine Noun
    märz · Masculine Noun
    maß · Neuter Noun
    maschine · Feminine Noun
    maschinen · Feminine Noun
    maße · Neuter Noun
    material · Neuter Noun
    materialien · Neuter Noun
    mathematik · Feminine Noun
    mauer · Feminine Noun
    mauern · Feminine Noun
    maus · Feminine Noun
    mäuse · Feminine Noun
    medien · Neuter Noun
    medikament · Neuter Noun
    medikamente · Neuter Noun
    meditiere · Verb
    meditieren · Verb
    meditierst · Verb
    meditiert · Verb
    medium · Neuter Noun
    medizin · Feminine Noun
    meer · Neuter Noun
    mehr · Adverb
    mein · Masculine Pronoun
    meine · Pronoun
    meinem · Masculine Pronoun
    meinen · Pronoun
    meiner · Feminine Pronoun
    meines · Masculine Pronoun
    meinst · Verb
    meint · Verb
    meinung · Feminine Noun
    meinungen · Feminine Noun
    meist · Adverb
    meiste · Feminine Determiner
    meisten · Masculine Determiner
    meistens · Adverb
    meister · Masculine Noun
    melde · Verb
    melden · Verb
    meldest · Verb
    meldet · Verb
    meldung · Feminine Noun
    meldungen · Feminine Noun
    melodie · Feminine Noun
    menge · Feminine Noun
    mensch · Masculine Noun
    menschen · Masculine Noun
    merke · Verb
    merken · Verb
    merkmale · Neuter Noun
    merkt · Verb
    messe · Feminine Noun
    messen · Verb
    messer · Neuter Noun
    metall · Neuter Noun
    meter · Masculine Noun
    methode · Feminine Noun
    methoden · Feminine Noun
    mich · Pronoun
    miete · Verb
    mieten · Verb
    mietest · Verb
    mietwagen · Masculine Noun
    mietwägen · Masculine Noun
    milch · Feminine Noun
    milliarde · Feminine Noun
    milliarden · Feminine Noun
    million · Feminine Noun
    millionen · Feminine Noun
    mindestens · Adverb
    ministerium · Neuter Noun
    ministeriums · Neuter Noun
    minus · Preposition
    minute · Feminine Noun
    minuten · Feminine Noun
    mir · Pronoun
    mir geht's gut
    misst · Verb
    mit · Preposition
    mitarbeiter · Masculine Noun
    mitarbeiterin · Feminine Noun
    mitarbeiterinnen · Feminine Noun
    mitglied · Neuter Noun
    mitglieder · Neuter Noun
    mitgliedern · Neuter Noun
    mitgliedschaft · Feminine Noun
    mitgliedschaften · Feminine Noun
    mittag · Masculine Noun
    mittagessen · Neuter Noun
    mitte · Feminine Noun
    mitteilung · Feminine Noun
    mitteilungen · Feminine Noun
    mittel · Neuter Noun
    mitteln · Neuter Noun
    mitternacht · Feminine Noun
    mittlerweile · Adverb
    mittwoch · Masculine Noun
    möbel · Neuter Noun
    möchte · Verb
    möchten · Verb
    möchtest · Verb
    mode · Feminine Noun
    modell · Neuter Noun
    modelle · Neuter Noun
    modernen · Adjective
    mögen · Verb
    möglich · Adjective
    möglichen · Adjective
    möglichkeit · Feminine Noun
    möglichkeiten · Feminine Noun
    mögt · Verb
    moment · Masculine Noun
    monat · Masculine Noun
    monate · Masculine Noun
    monatlich · Adjective
    mönch · Masculine Noun
    mönche · Masculine Noun
    mond · Masculine Noun
    monitor · Masculine Noun
    monitore · Masculine Noun
    montag · Masculine Noun
    morgen · Masculine Noun
    moscheen · Feminine Noun
    motor · Masculine Noun
    motorrad · Neuter Noun
    motorräder · Neuter Noun
    müde · Feminine Adjective
    mund · Masculine Noun
    münder · Masculine Noun
    münze · Feminine Noun
    münzen · Feminine Noun
    museen · Neuter Noun
    museum · Neuter Noun
    musik · Feminine Noun
    musiker · Masculine Noun
    musikinstrumente · Neuter Noun
    muskel · Masculine Noun
    muskeln · Masculine Noun
    müsli · Neuter Noun
    muslim · Masculine Noun
    muslime · Masculine Noun
    musste · Verb
    mussten · Verb
    mutter · Feminine Noun
    mütter · Feminine Noun
    n
    nach · Preposition
    nachbar · Masculine Noun
    nachdem · Conjunction
    nachricht · Feminine Noun
    nachrichten · Feminine Noun
    nächste · Feminine Adjective
    nächsten · Masculine Adjective
    nächster · Masculine Adjective
    nacht · Feminine Noun
    nächte · Feminine Noun
    nachtisch · Masculine Noun
    nachts · Adverb
    nachweis · Masculine Noun
    nähe · Feminine Noun
    nahm · Verb
    nahmen · Verb
    naja · Interjection
    name · Masculine Noun
    namen · Masculine Noun
    nasen · Feminine Noun
    nass · Adjective
    natur · Feminine Noun
    natürlich · Adverb
    neben · Preposition
    nebenan · Adverb
    neffen · Masculine Noun
    nehme · Verb
    nehmen · Verb
    nehmt · Verb
    nein · Adverb
    nennen · Verb
    nennt · Verb
    nett · Adjective
    netz · Neuter Noun
    netze · Neuter Noun
    neu · Adjective
    neue · Feminine Adjective
    neuen · Adjective
    neues · Neuter Adjective
    neuesten · Adjective
    neun · Numeral
    neunzehn · Numeral
    neunzig · Numeral
    nicht · Adverb
    nichten · Feminine Noun
    nichts · Neuter Determiner
    nie · Adverb
    niemals · Adverb
    niemand · Determiner
    nimm · Verb
    nimmt · Verb
    niveau · Neuter Noun
    noch · Adverb
    nochmals · Adverb
    nordamerika · Neuter Proper Noun
    norden · Masculine Noun
    nordpol · Masculine Noun
    normal · Adjective
    normalen · Adjective
    normalerweise · Adverb
    not · Feminine Noun
    note · Feminine Noun
    noten · Feminine Noun
    notfall · Masculine Noun
    notfälle · Masculine Noun
    notiz · Feminine Noun
    notwendig · Adjective
    notwendigen · Adjective
    november · Masculine Noun
    nudeln · Feminine Noun
    nummer · Feminine Noun
    nummern · Feminine Noun
    nun · Adverb
    nur · Adverb
    nuss · Feminine Noun
    nüsse · Feminine Noun
    nutzen · Verb
    nutzer · Masculine Noun
    nützlich · Adjective
    nutzung · Feminine Noun
    o
    ob · Conjunction
    oben · Adverb
    oberfläche · Feminine Noun
    oberschenkel · Masculine Noun
    obst · Neuter Noun
    obwohl · Conjunction
    oder · Conjunction
    offen · Adjective
    offene · Feminine Adjective
    offenen · Adjective
    öffentliche · Feminine Adjective
    öffentlichen · Adjective
    öffentliches · Neuter Adjective
    öffentlichkeit · Feminine Noun
    öffne · Verb
    öffnen · Verb
    öffnet · Verb
    oft · Adverb
    ohne · Preposition
    ohr · Neuter Noun
    oktober · Masculine Noun
    oktoberfest · Neuter Noun
    öl · Neuter Noun
    oma · Feminine Noun
    onkel · Masculine Noun
    opa · Masculine Noun
    oper · Feminine Noun
    opern · Feminine Noun
    opfer · Neuter Noun
    opfern · Neuter Noun
    optimist
    option · Feminine Noun
    optionen · Feminine Noun
    orange
    orangen · Feminine Noun
    orangensaft · Masculine Noun
    orchester · Neuter Noun
    ordnung · Feminine Noun
    organ · Neuter Noun
    organe · Neuter Noun
    organisation · Feminine Noun
    organisationen · Feminine Noun
    original · Neuter Noun
    ort · Masculine Noun
    orte · Masculine Noun
    osten · Masculine Noun
    österreich · Neuter Proper Noun
    p
    paar · Neuter Noun
    paare · Neuter Noun
    paket · Neuter Noun
    pakete · Neuter Noun
    papier · Neuter Noun
    papiere · Neuter Noun
    pappe · Feminine Noun
    park · Masculine Noun
    parks · Masculine Noun
    partei · Feminine Noun
    parteien · Feminine Noun
    parties · Feminine Noun
    partner · Masculine Noun
    partnerschaft · Feminine Noun
    partnerschaften · Feminine Noun
    party · Feminine Noun
    partys · Feminine Noun
    pass · Masculine Noun
    pässe · Masculine Noun
    passende · Feminine Adjective
    passenden · Adjective
    passieren · Verb
    passiert · Adjective
    passt · Verb
    patient · Masculine Noun
    patienten · Masculine Noun
    pension · Feminine Noun
    perfekt · Adjective
    person · Feminine Noun
    personal · Neuter Noun
    personen · Feminine Noun
    persönlich · Adjective
    persönliche · Masculine Adjective
    persönlichen · Masculine Adjective
    pessimist
    pferd · Neuter Noun
    pflanze · Feminine Noun
    pflanzen · Feminine Noun
    pflaster · Neuter Noun
    phase · Feminine Noun
    phasen · Feminine Noun
    philosophie · Feminine Noun
    physik · Feminine Noun
    pils · Neuter Noun
    pilz · Masculine Noun
    pilze · Masculine Noun
    pinguin · Masculine Noun
    pinguine · Masculine Noun
    pink · Adjective
    pizza · Feminine Noun
    plan · Masculine Noun
    pläne · Masculine Noun
    planen · Verb
    planeten · Masculine Noun
    planst · Verb
    planung · Feminine Noun
    plastik · Neuter Noun
    platz · Masculine Noun
    plätze · Masculine Noun
    plötzlich · Adjective
    plus · Adverb
    polen · Neuter Proper Noun
    politik · Feminine Noun
    politiker · Masculine Noun
    politikerin · Feminine Noun
    politischen · Adjective
    polizei · Feminine Noun
    position · Feminine Noun
    positiv · Adjective
    postkarte · Feminine Noun
    postkarten · Feminine Noun
    postleitzahl · Feminine Noun
    postleitzahlen · Feminine Noun
    praktika · Neuter Noun
    praktikum · Neuter Noun
    praktisch · Adjective
    präsentiere · Verb
    präsentieren · Verb
    präsentiert · Verb
    präsident · Masculine Noun
    präsidenten · Masculine Noun
    praxis · Feminine Noun
    preis · Masculine Noun
    preise · Masculine Noun
    presse · Feminine Noun
    priester · Masculine Noun
    prinzen · Masculine Noun
    prinzessin · Feminine Noun
    prinzip · Neuter Noun
    prinzipien · Neuter Noun
    privat · Adjective
    private · Adjective
    privaten · Adjective
    problem · Neuter Noun
    probleme · Neuter Noun
    produkt · Neuter Noun
    produkte · Neuter Noun
    produkten · Neuter Noun
    produktion · Feminine Noun
    professor · Masculine Noun
    professoren · Masculine Noun
    professorin · Feminine Noun
    professorinnen · Feminine Noun
    profil · Neuter Noun
    profile · Neuter Noun
    programm · Neuter Noun
    programme · Neuter Noun
    projekt · Neuter Noun
    projekte · Neuter Noun
    protestieren · Verb
    protestiert · Verb
    prozent · Neuter Noun
    prozente · Neuter Noun
    prozess · Masculine Noun
    prozesse · Masculine Noun
    prozesses · Masculine Noun
    prüfen · Verb
    prüft · Verb
    prüfung · Feminine Noun
    prüfungen · Feminine Noun
    publikum · Neuter Noun
    punkt · Masculine Noun
    punkte · Masculine Noun
    pyramide · Feminine Noun
    pyramiden · Feminine Noun
    q
    qualifikation · Feminine Noun
    qualität · Feminine Noun
    quartal · Neuter Noun
    quartale · Neuter Noun
    quelle · Feminine Noun
    quellen · Feminine Noun
    r
    radio · Neuter Noun
    radios · Neuter Noun
    rahmen · Masculine Noun
    rasierer · Masculine Noun
    rat · Masculine Noun
    rathaus · Neuter Noun
    raum · Masculine Noun
    räume · Masculine Noun
    raumschiff · Neuter Noun
    raus · Adverb
    rechnung · Feminine Noun
    recht · Neuter Noun
    rechte · Neuter Noun
    rechts · Adverb
    rechtsanwälte · Masculine Noun
    rede · Feminine Noun
    reden · Verb
    redest · Verb
    redet · Verb
    referenzen · Feminine Noun
    regel · Feminine Noun
    regen · Masculine Noun
    regenbogen · Masculine Noun
    regenschirm · Masculine Noun
    regie · Feminine Noun
    regierung · Feminine Noun
    regierungen · Feminine Noun
    region · Feminine Noun
    regional · Adjective
    regionen · Feminine Noun
    regnet · Verb
    reich · Adjective
    reicht · Verb
    reihe · Feminine Noun
    rein · Adverb
    reinigung · Feminine Noun
    reis · Masculine Noun
    reise · Feminine Noun
    reiseführer · Masculine Noun
    reisen · Feminine Noun
    reitest · Verb
    reitet · Verb
    relativ · Adjective
    religion · Feminine Noun
    religionen · Feminine Noun
    renne · Verb
    rennen · Verb
    rennst · Verb
    rennt · Verb
    reparatur · Feminine Noun
    republik · Feminine Noun
    rest · Masculine Noun
    restaurant · Neuter Noun
    restaurants · Neuter Noun
    retten · Verb
    rettet · Verb
    rezept · Neuter Noun
    rhein · Masculine Proper Noun
    richter · Masculine Noun
    richterinnen · Feminine Noun
    richtig · Adjective
    richtige · Feminine Adjective
    richtung · Feminine Noun
    ring · Masculine Noun
    ringe · Masculine Noun
    risiken · Neuter Noun
    risiko · Neuter Noun
    rock · Masculine Noun
    röcke · Masculine Noun
    rolle · Feminine Noun
    rollstuhl · Masculine Noun
    rollstühle · Masculine Noun
    rot · Neuter Noun
    rote · Neuter Adjective
    roten · Masculine Adjective
    roter · Masculine Adjective
    rotes · Neuter Adjective
    rubrik · Feminine Noun
    rubriken · Feminine Noun
    rücken · Masculine Noun
    rucksack · Masculine Noun
    rucksäcke · Masculine Noun
    ruf · Verb
    rufe · Verb
    rufen · Verb
    ruft · Verb
    ruhe · Feminine Noun
    ruhig · Adjective
    rund · Adjective
    runde · Feminine Noun
    russland · Neuter Proper Noun
    s
    sache · Feminine Noun
    sachen · Feminine Noun
    saft · Masculine Noun
    sage · Verb
    sagen · Verb
    sagst · Verb
    sagt · Verb
    sagte · Verb
    sagten · Verb
    sagtest · Verb
    sah · Verb
    sahen · Verb
    sahst · Verb
    saht · Verb
    saison · Feminine Noun
    salat · Masculine Noun
    salz · Neuter Noun
    salzig · Adjective
    sammeln · Verb
    sammelt · Verb
    sammle · Verb
    sammlung · Feminine Noun
    sammlungen · Feminine Noun
    samstag · Masculine Noun
    samstage · Masculine Noun
    sänger · Masculine Noun
    sängerin · Feminine Noun
    satz · Masculine Noun
    sauber · Adjective
    sauer · Adjective
    sauerkraut · Neuter Noun
    säugetier · Neuter Noun
    säugetiere · Neuter Noun
    schäden · Masculine Noun
    schaden · Masculine Noun
    schaf · Neuter Noun
    schafe · Neuter Noun
    schaffen · Verb
    schafft · Verb
    scharf · Adjective
    schau · Feminine Noun
    schaue · Verb
    schauen · Verb
    schauspieler · Masculine Noun
    schaut · Verb
    scheint · Verb
    schenken · Verb
    schenkt · Verb
    schere · Feminine Noun
    scheren · Feminine Noun
    schicke · Verb
    schicken · Verb
    schicksal · Neuter Noun
    schickst · Verb
    schildkröte · Feminine Noun
    schildkröten · Feminine Noun
    schlafe · Verb
    schlafen · Verb
    schläfst · Verb
    schläft · Verb
    schlafzimmer · Neuter Noun
    schlange · Feminine Noun
    schlangen · Feminine Noun
    schlau · Adjective
    schlecht · Adjective
    schlechte · Adjective
    schlechter · Adjective
    schlief · Verb
    schliefen · Verb
    schließen · Verb
    schließlich · Adverb
    schließt · Verb
    schlimm · Adjective
    schloss · Neuter Noun
    schlossen · Verb
    schlösser · Neuter Noun
    schluss · Masculine Noun
    schlüssel · Masculine Noun
    schmeckt · Verb
    schmuck · Masculine Noun
    schmutzig · Adjective
    schnecke · Feminine Noun
    schneider · Masculine Noun
    schneit · Verb
    schnell · Adjective
    schnellen · Masculine Adjective
    schneller · Adjective
